accuracy,loss,val_accuracy,val_loss,epoch
0.8995100259780884,0.27745673060417175,0.9013248085975647,0.26703086495399475,1
0.9551100134849548,0.12547451257705688,0.934559166431427,0.18785299360752106,2
0.9684299826622009,0.08935091644525528,0.9402695298194885,0.16163823008537292,3
0.9744700193405151,0.07228968292474747,0.9616262912750244,0.11791983991861343,4
0.9782699942588806,0.062717966735363,0.9550023078918457,0.14304910600185394,5
0.9813200235366821,0.0548185296356678,0.9536318182945251,0.1594509780406952,6
0.9827399849891663,0.05069864168763161,0.962996780872345,0.12737594544887543,7
0.983680009841919,0.047017332166433334,0.9523755311965942,0.15867367386817932,8
0.9857699871063232,0.041945405304431915,0.9625399708747864,0.12886178493499756,9
0.9865400195121765,0.03902418911457062,0.9652809500694275,0.12314735352993011,10
0.9876099824905396,0.03720419853925705,0.9617404937744141,0.14583104848861694,11
0.9880499839782715,0.034271735697984695,0.9639104604721069,0.13727109134197235,12
0.9883300065994263,0.03383784741163254,0.9636820554733276,0.13781219720840454,13
0.989329993724823,0.032097674906253815,0.971904993057251,0.1243772804737091,14
0.9893500208854675,0.03092486783862114,0.9599131941795349,0.15529805421829224,15
0.9904299974441528,0.029064811766147614,0.9645957350730896,0.14572900533676147,16
0.9909200072288513,0.02781539037823677,0.9722476005554199,0.12239419668912888,17
0.9910200238227844,0.027214225381612778,0.9627683758735657,0.1508800983428955,18
0.9914000034332275,0.026679961010813713,0.963567852973938,0.1450415849685669,19
0.9917700290679932,0.025134511291980743,0.9659661650657654,0.14586833119392395,20
0.9917600154876709,0.024816667661070824,0.9668798446655273,0.13132864236831665,21
0.9921799898147583,0.023497551679611206,0.9722476005554199,0.1239665299654007,22
0.9923700094223022,0.02288808673620224,0.9650525450706482,0.15291917324066162,23
0.9926499724388123,0.022769074887037277,0.9698492288589478,0.13589243590831757,24
0.992139995098114,0.024082522839307785,0.9691640138626099,0.13207858800888062,25
0.9934700131416321,0.020174741744995117,0.9695066213607788,0.13651403784751892,26
0.9930499792098999,0.022016510367393494,0.966994047164917,0.14343692362308502,27
0.993340015411377,0.020236680284142494,0.9743033051490784,0.12279761582612991,28
0.9937400221824646,0.020023247227072716,0.9721333980560303,0.13214294612407684,29
0.9933500289916992,0.019914893433451653,0.9714481234550476,0.1306132674217224,30
