accuracy,loss,val_accuracy,val_loss,epoch
0.8861600160598755,0.3143020272254944,0.8846505284309387,0.30874723196029663,1
0.9513900279998779,0.13607914745807648,0.9395843148231506,0.16972824931144714,2
0.966759979724884,0.09399625658988953,0.9261078238487244,0.20729844272136688,3
0.9727500081062317,0.07742389291524887,0.9232526421546936,0.22744381427764893,4
0.9773600101470947,0.06428277492523193,0.9418684244155884,0.1948985904455185,5
0.98021000623703,0.05804034322500229,0.9374143481254578,0.2003069818019867,6
0.9826099872589111,0.05087241530418396,0.9443809986114502,0.17742526531219482,7
0.9840499758720398,0.04654547944664955,0.9499771595001221,0.17527495324611664,8
0.9850900173187256,0.04281734302639961,0.9574006199836731,0.15168650448322296,9
0.9868699908256531,0.03829179331660271,0.9545454382896423,0.1590944081544876,10
0.9868500232696533,0.03852525353431702,0.9677935242652893,0.133273184299469,11
0.9878900051116943,0.035607025027275085,0.9639104604721069,0.13997219502925873,12
0.9887700080871582,0.03327304497361183,0.9717907905578613,0.11386393010616302,13
0.9895200133323669,0.03134126588702202,0.955573320388794,0.18000896275043488,14
0.9892600178718567,0.03159128502011299,0.955230712890625,0.18024899065494537,15
0.9902200102806091,0.02889528125524521,0.9617404937744141,0.15167246758937836,16
0.9905300140380859,0.02832113951444626,0.9553449153900146,0.18331076204776764,17
0.9908000230789185,0.02680199407041073,0.9660804271697998,0.14489491283893585,18
0.9914799928665161,0.02474074251949787,0.966651439666748,0.14893247187137604,19
0.9920399785041809,0.024522775784134865,0.966651439666748,0.14742068946361542,20
0.9924200177192688,0.02319125272333622,0.9696208238601685,0.15440335869789124,21
0.992110013961792,0.023770978674292564,0.9530607461929321,0.19455572962760925,22
0.9922099709510803,0.0225225780159235,0.9660804271697998,0.14505566656589508,23
0.9929900169372559,0.021169262006878853,0.9685929417610168,0.14302349090576172,24
0.9924200177192688,0.022381478920578957,0.9716765880584717,0.1336120069026947,25
0.9932100176811218,0.020626451820135117,0.971904993057251,0.13412924110889435,26
0.9931700229644775,0.02035686746239662,0.9763590693473816,0.12896206974983215,27
0.9932100176811218,0.020154878497123718,0.9684787392616272,0.15990841388702393,28
0.9935600161552429,0.019952502101659775,0.9699634313583374,0.14903844892978668,29
0.9933900237083435,0.019303688779473305,0.9746459722518921,0.1275695413351059,30
0.9934499859809875,0.01970229297876358,0.9658519625663757,0.16849622130393982,31
0.9934499859809875,0.019307009875774384,0.9701918959617615,0.14391720294952393,32
0.9939900040626526,0.018045082688331604,0.97533118724823,0.132234588265419,33
0.9940400123596191,0.01781112514436245,0.9653951525688171,0.16507641971111298,34
0.993939995765686,0.01836046576499939,0.9704203009605408,0.1446520984172821,35
0.99413001537323,0.017465561628341675,0.9701918959617615,0.14150291681289673,36
0.9947100281715393,0.01629829779267311,0.971562385559082,0.13835027813911438,37
0.9946100115776062,0.016331255435943604,0.9706487059593201,0.14695727825164795,38
0.9947199821472168,0.016612615436315536,0.9756737947463989,0.12801949679851532,39
0.9944499731063843,0.01603597216308117,0.9699634313583374,0.1423264443874359,40
0.9949100017547607,0.015118816867470741,0.9696208238601685,0.15080702304840088,41
0.9950000047683716,0.015424270182847977,0.9763590693473816,0.12027151882648468,42
0.9950799942016602,0.014742378145456314,0.9727044105529785,0.14012211561203003,43
0.9949100017547607,0.015124207362532616,0.9671082496643066,0.15861180424690247,44
0.9953500032424927,0.014417275786399841,0.9663088321685791,0.16169501841068268,45
0.9951800107955933,0.014919417910277843,0.9705345034599304,0.14954155683517456,46
0.9950900077819824,0.014978146180510521,0.9695066213607788,0.1593104898929596,47
0.9955199956893921,0.01356689352542162,0.9744175672531128,0.13907016813755035,48
0.9952399730682373,0.015237594954669476,0.9730470776557922,0.13798685371875763,49
0.9956499934196472,0.013082850724458694,0.9747601747512817,0.13873115181922913,50
0.9957299828529358,0.013072106055915356,0.9765874743461609,0.1282230168581009,51
0.9958099722862244,0.01298889983445406,0.9769300818443298,0.13615654408931732,52
0.9958699941635132,0.012588677927851677,0.9743033051490784,0.15468016266822815,53
0.9955000281333923,0.013212338089942932,0.9685929417610168,0.16317035257816315,54
0.9957699775695801,0.012967915274202824,0.9692782163619995,0.17578880488872528,55
0.9964699745178223,0.010696752928197384,0.9757880568504333,0.14465364813804626,56
0.9957699775695801,0.013501027598977089,0.9748743772506714,0.1416877657175064,57
0.995989978313446,0.011859435588121414,0.9761306643486023,0.14339224994182587,58
0.9959700107574463,0.012615741230547428,0.9768158793449402,0.12740838527679443,59
0.9963899850845337,0.010700964368879795,0.975902259349823,0.1447136551141739,60
0.9958099722862244,0.013103043660521507,0.9771585464477539,0.1280427724123001,61
0.9960799813270569,0.011505162343382835,0.9724760055541992,0.16349898278713226,62
0.9963399767875671,0.010924250818789005,0.9744175672531128,0.13586576282978058,63
0.996429979801178,0.010738017968833447,0.9747601747512817,0.15786783397197723,64
0.9963799715042114,0.011320335790514946,0.9746459722518921,0.15303926169872284,65
0.9961400032043457,0.012240374460816383,0.9770442843437195,0.13188748061656952,66
0.9964699745178223,0.010831397958099842,0.9765874743461609,0.1474231630563736,67
0.99617999792099,0.011166712269186974,0.9762448668479919,0.13660022616386414,68
0.9964900016784668,0.010412236675620079,0.9740749001502991,0.1477506011724472,69
0.9966800212860107,0.010048752650618553,0.9727044105529785,0.1614752858877182,70
0.9965800046920776,0.010387090034782887,0.97533118724823,0.1468024104833603,71
0.9965400099754333,0.01045981328934431,0.9773869514465332,0.1520288735628128,72
0.9964200258255005,0.010596863925457,0.9755595922470093,0.15285657346248627,73
0.9970300197601318,0.009769131429493427,0.970991313457489,0.17281809449195862,74
0.9966700077056885,0.009937033988535404,0.9780721664428711,0.1411360204219818,75
0.9968000054359436,0.009136143140494823,0.9783005714416504,0.1283586323261261,76
0.9967100024223328,0.010693752206861973,0.9801279306411743,0.13613179326057434,77
0.9967899918556213,0.009926773607730865,0.9736180901527405,0.14905689656734467,78
0.9965800046920776,0.010421826504170895,0.9794426560401917,0.13212217390537262,79
0.9971100091934204,0.00943485926836729,0.9760164618492126,0.1428167223930359,80
0.9967700242996216,0.010154143907129765,0.9764732718467712,0.14743588864803314,81
0.996999979019165,0.009027504362165928,0.9768158793449402,0.14335203170776367,82
0.996649980545044,0.010108623653650284,0.9681361317634583,0.18304145336151123,83
0.9968699812889099,0.009306835941970348,0.9728186130523682,0.15935157239437103,84
0.9970200061798096,0.008845743723213673,0.9721333980560303,0.16686610877513885,85
0.9971500039100647,0.00936275813728571,0.9765874743461609,0.14122374355793,86
0.9970200061798096,0.008931336924433708,0.9751027822494507,0.1699916124343872,87
0.9969199895858765,0.009745911695063114,0.9732754826545715,0.1723507046699524,88
0.9970499873161316,0.009464270435273647,0.9800137281417847,0.12663497030735016,89
0.9974700212478638,0.007694208528846502,0.9788716435432434,0.15456315875053406,90
0.9969900250434875,0.008964251726865768,0.9714481234550476,0.16041909158229828,91
0.9973099827766418,0.008444778621196747,0.9772727489471436,0.15318536758422852,92
0.9971799850463867,0.00891122967004776,0.9743033051490784,0.1594073325395584,93
0.9970399737358093,0.009169003926217556,0.9786432385444641,0.14140631258487701,94
0.9975000023841858,0.008213462308049202,0.9769300818443298,0.14942848682403564,95
0.9972000122070312,0.008755509741604328,0.9769300818443298,0.15606491267681122,96
0.9973400235176086,0.008100184611976147,0.9778437614440918,0.14662310481071472,97
0.9973400235176086,0.008211609907448292,0.9763590693473816,0.15515466034412384,98
0.9972900152206421,0.008504120633006096,0.9787574410438538,0.14811141788959503,99
0.9975500106811523,0.00747382827103138,0.9747601747512817,0.16064555943012238,100
